Delivery Date,Beef Bones - Knuckle/lb. - lbs,Chicken - BULK Breasts /lb. - Pack,Chicken - Big Bag Deboned Thighs/lb. - Bag,Ground Turkey - Pack,Sirloin Steak - Pack,Milk - 2%  - Oz.,Milk - Chocolate - Oz.,Milk - Whole - Oz.,Walnuts - Oz.,Almond Butter - Pint,Almonds - Salted - Oz.,Cashew Butter - Roasted - Pint,Cashews Salted - Oz.,Cucumbers - Pickling - Bag,Dates - Oz.,Eggs - BW - Dozen,Gringo's Salsa Choice ($5) - Pint,Half & Half - Pint,Jam - Blackberry HBY - Pint,Jam - Red Cherry HBY - Pint,Jam - Strawberry HBY - Pint,Kuva Nicaragua - Bag,Kuva Peru - Package,Peanut Butter EW - Pint,Peanut Butter MC - Tub,Pepitas - Oz.,Pignolas (Pine Nuts) - Oz.,Salsa - Black Bean & Corn - Pint,Salsa - Gringo's Hot - Pint,Stringbean Brazilian - Oz.,Stringbean Disco Inferno - Oz.,Stringbean Malawi Peaberry - Oz.,Stringbean Peru - Oz.,Sugar Free - Raspberry HBY - Pint,Sugar Free - Red Cherry - Pint,Yogurt - Greek Plain - Oz.,Pizza - Cheese  - Each,Pizza - Sausage Pepperoni - Each,Pizza - Veggie  - Each,Kirkwood Pickup Time - @1-1:30,Kirkwood Pickup Time (1.0 PORCH) - PORCH,Kirkwood Pickup Time (2.0 @1:30-2) - @1:30-2,Mothership Pickup Time - @6:30-7,Mothership Pickup Time (1.0 @3:30-4) - @3:30-4,Mothership Pickup Time (2.0 @4-4:30) - @4-4:30,Mothership Pickup Time (3.0 @4:30-5) - @4:30-5,Mothership Pickup Time (4.0 @5-5:30) - @5-5:30,Mothership Pickup Time (5.0 @5:30-6) - @5:30-6,Mothership Pickup Time (6.0 @6-6:30) - @6-6:30,UCity Pickup Time - @4:10-4:30,UCity Pickup Time (2.0 @4:30-5) - @4:30-5,UCity Pickup Time (3.0 @5-5:30) - @5-5:30,Pork Steaks/lb. - Pack,Pork Chop Bone-in /lb. - Lb.,Buttermilk - Qt.  - Quart,RL Heavy Cream - Pint,Halibut/lb.* - Pack,Cooler Repair Donation - $,Donation to Food Pantry - Each,Food For FS Cats Donation - $,Food Pantry Donation - $,Food for Ferals Donation - $,XO - Cooler Donation - $,XO! Green Bags Donation - $,Aged Cheddar - HBC - Each,Apple Sauce - Chunky - NS - Quart,Apple Sauce - w/sugar - qt. - Jar,Applewood Smoked Cheddar - Each,Bacon - Each,Bacon - Uncured/lb - Pack,Bacon Ends /lb. - Package,Bagel Chips - Bag,Bagels - Blueberry - BU - Bag,Bagels - Cinnamon Raisin - BU - Bag,Bagels - Egg - BU - Bag,Bagels - Everything - BU - Bag,Bagels - Honey Buckwheat - BU - Bag,Bagels - Plain - BU - Bag,Bagels - Plain - Frozen - Each,Bagels - Poppy Seed - BU - Bag,Bagels - Pumpernickel - BU - Bag,Bagels - Sesame Seed - BU - Bag,Beans & Rice - Tub,Beans - Green - Bag,Beef - Filet 1-1.5#./lb - Pack,Beef - Stew Meat - Pack,Beef Kabob Meat - Lb.,Beets - Lb.,Beets - Pickled - Quart,Bison - Ground - Lb.,Black Bean Dip - Tub,Black Bean Hummus - Tub,Black Bean Soup - Tub,Black Beans DC - Tub,Black Pepper Cheddar - Each,Blackberries - Frozen (1.0 Large) - Large,Boneless Pork Chop - D&M /lb - Lb.,Brisket - half/lb. - lbs,Buttermilk Waffles Sourdough - Frozen - Pack,Cabbage - Red - Share,Cannoli - Frozen - 2-pack,Cantaloupe - Each,Cantaloupe (1.0 Medium) - Medium,Carrots - Lb.,Cheese Choice $6.75 - Each,Chevre PF (1.0 Herb) - Herb,Chevre PF (1.0 Plain) - Plain,Chicken - Breakfast - Pack,Chicken - Breakfast Links - Each,Chicken - Ground - Lb.,Chicken - Thighs /lbs  - lbs,Chicken - Whole $5.00/lb. - Each,Chicken Bones - SM/lb.* - Bag,Chicken Breast - Wee  /lb. - Each,Chicken Breasts /lb. - Pack,Chicken Chorizo - Lb.,Chicken Drumsticks /LB - Pack,Chicken Links - Andouille  - Lb.,Chicken Links - Sundried Tomato - lbs,Chicken Thighs - Big Bag/lb. - Pack,Chicken Thighs - Boneless/lb. - lbs,Chicken Wings/lb. - lbs,Cinnamon Raisin Bread - 1-each,Cinnamon Raisin Bread - Frozen - Loaf,Cinnamon Rolls - Frozen - Pack,Coffee Stringbean Decaf - Bag,Cornmeal - Oz.,Cucumbers - Slicing - Each,Curds Applewood Smoked 10 oz - Bag,Curds Creamy Ranch 10 oz - Bag,Curds Garlic Herb HBC 10 oz  - Bag,Curds Jalapeno Habanero 10 oz - Bag,Curds Taco Spice 10 oz - Bag,Curry Sauce (1.0 Green) - Green,Curry Sauce (1.0 Red) - Red,Dark Bar 61% - Package,Dark Bar 72% - Package,Dark Chocolate Almond Bar - Pack,Dark Chocolate Bon Bons - Pack,Dark Chocolate Lolli - Each,Dark Chocolate Salted Bark - Pack,Date Chocolate Spread - Jar,Del Carmen Choice - Tub,Deli Roast Beef - Lb.,Deluxe Mixed Nuts - Bag,Eggplant - Globe - Each,Eggs - Dozen,Eggs - H - Dozen,English Muffin Sourdough - Frozen - Pack,FF Dish - Pear and Walnut Risotto - Each,FF Dish - Saag Paneer - Pint,FF Soup - Chowder - Pint,Fairy Tale Eggplant - Pint,Feta Cheese - HBC - Each,Flaked Salmon - Lb.,Flank Steak/lbs. - lbs,Flour - HRS Sifted Bread  - Bag,Fresh Herb - Basil - Bunch,Funds for Snacks - Each,Garlic - Head - Head,German Quark HBC - Jar,Ghost Pepper Cheddar - Each,Gluten Free Black Beans  - Tub,Gnocchi - Garlic Chive  - Lb.,Gnocchi - Spinach  - Lb.,Gnocchi - Sundried Tomato  - Lb.,Gnocchi - Sweet Potato  - Lb.,Golden Zucchini - Each,Granola Bar - Each,Grits - Oz.,Ground Beef - D&M - Lb.,Ham Hocks/lb. - Pack,Hamburger Buns - 4-pack,Hamburger Buns - Frozen - 4-pack,Heirloom 2nds/3lbs bag - Lb.,Herb - Purple Basil - Herb,Hoagie - PIB Frozen - Bag,Hoagie - T - Each,Hoagie - Wednesday - Each,Honey - Pint - Jar,Honey - Qt. - Jar,Hot Sauce - Green - Oz.,Hummus - Beet & Pepita - Tub,Hummus - Carrot & Ginger - Tub,Hummus - Garlic - Tub,Hummus Choice ($6.75) - Tub,Jam - Blackberry Jalapeno - Pint,Jam - Rhubarb HBY - 1-each,Janie's Bread - Thursday - Each,Janie's Bread - Wednesday - Each,Jar Tomatoes - Quart,Kairos Sourdough Choice $5 - Pack,Lamb Gyro Seasoned - Lb.,Lamb Gyro w/ Feta & Spinach - Lb.,Lasagna (1.0 Spinach) - Spinach,Leeks - Bunch,Light and Mild - T - Loaf,Light and Mild - Wednesday - Loaf,Louise's Cocoa Brownie Crisp Granola - Bag,Louise's Original Granola - Bag,Manicotti - Spinach - Package,Maple Syrup 12 oz. - Jar,Marbled Rye -Wednesday - Loaf,Marinara Sauce - Jar,Meatballs D&M - Package,Mexican Dark Bark - Package,Milk Chocolate Bar - Pack,Milk Chocolate Lolli - Each,Milk Chocolate PB Bon Bons - Pack,Milk Chocolate Square - Each,Milk Chocolate Toasted Missouri Pecan Bark - Package,Multigrain Bread - Frozen - Loaf,Mushrooms - Choice,Mushrooms (1.0 King Oyster (French Horn)) - King Oyster (French Horn),Mushrooms (1.0 Lion's Mane) - Lion's Mane,Mushrooms (1.0 Maitake (Hen of the Woods)) - Maitake (Hen of the Woods),Mushrooms (1.0 Oyster) - Oyster,Mushrooms (1.0 Shiitake) - Shiitake,Mustard - Choice,Mustard (1.0 Garlic) - Garlic,Mustard (1.0 Honey) - Honey,Mustard (1.0 Onion) - Onion,Oat Porridge Bread - T - Each,Oat Porridge Bread - Wednesday - Loaf,Oats - Rolled 5# - Bag,Okra  - Bag,Olive Oil Small - ML,Onions - Red  - lbs,Onions - Yellow - lbs,Pasta - Egg Spaghetti - Lb.,Pasta - Gluten Free Short LV - Each,Pasta Bi-color Short - Lb.,Pasta Long Bi-color - Lb.,Pasta Long Egg - Lb.,Pasta Wildcard $6.50 - Pack,Paw Paws - Bag,Peaches - Bag,Peanuts - Salted Redskin - Bag,Peppers - Banana - 4-pack,Peppers - Carmen - 2-pack,Peppers - Colored Bell - 3-pack,Peppers - Green/Red Bell - 3-pack,Peppers - Jalapenos - 5-pack,Peppers - Lunchbox - Bag,Peppers - Red Bell XL - 1-each,Peppers - Shishitos - Bag,Peppers - Sweet Habanada - Bag,Peppers - Sweet Oxhorn - 2-pack,Pink Sauce - Oz.,Pita Bread - Pack,Pita Bread - Frozen (1.0 Wheat) - Wheat,Pita Bread - Frozen (1.0 White) - White,Pizza Sauce - Jar,Pizza Sourdough - Frozen - Pack,Popcorn - McKaskle - Lb.,Popped Corn - Organic - Bag,Pork - Brats Cheddar DM - 4-pack,Pork - Bratwurst  - Pack,Pork - Breakfast Bulk - Pack,Pork - Chorizo (bulk) - Lb.,Pork - Deli Ham RFF/lb. - Lb.,Pork - Ground  - Lb.,Pork - Tenderloin/lb - Lb.,Pork Bacon Burgers - Pack,Pork Breakfast Link D&M - Pack,Pork Breakfast Patties D&M - Pack,Pork Hot Dogs - Each,Pork Italian Bulk - D&M - Lb.,Pork Snack Sticks - 5 pk - Plain,Pork Snack Sticks - Honey 4pk - Pack,Potatoes - Fingerling - lbs,Potatoes - Kennebec - lbs,Potatoes - New - Bag,Pretzel - UL Thursday  - Each,Pretzel - UL Wednesday - Each,Queso Quesadilla - HBC - Each,RL Chocolate Milk - Bottle,Ravioli - 4-Cheese - Lb.,Ravioli - Butternut Squash  - Lb.,Ravioli - Mushroom  - Lb.,Ribeye Steak /lb - Pack,Rice - Basmati Brown - Lb.,Rice - Basmati White - Lb.,Rice - White - Lb.,Sale Yogurt - Vanilla best by 8/16 - Oz.,Salmon - Fillet Pieces/LB* - Each,Salsa - Gringo's Mild - Jar,Seedy Wheaty - Frozen - Loaf,Semolina - T - Loaf,Semolina - Wednesday - Loaf,Sesame Hoagie - T - Each,Sesame Hoagie -W - Each,Short Ribs/lbs. - lbs,Soy Sauce - Mushroom - Bottle,Sparkling Tea - Ginger Roselle - 4-pack,Squash - Patty Pan - Lb.,Squash - Summer - Each,Squash - Zephyr - Share,Squash - Zucchini - Each,Staff - include last wk's share - Bag,Staff: Something to ask Jamie - $,Stringbean Ethiopian - Bag,Stringbean Half Caf - Bag,Strip Steak /lb - Pack,Sweet Corn - 5-pack,Sweet Dill Pickles - Quart,Tahini - Pint,Thick Cut Dill Pickles - Quart,Toffee - Package,Tomatillos  - Bag,Tomato Seconds - Bag,Tomatoes - 2nds - lbs,Tomatoes - Funky Bunch - Pint,Tomatoes - Heirloom - Bag,Tomatoes - Slicing - Bag,Tortellini - Cheese - Lb.,Tortellini - Goat Cheese - Pack,Tortellini - Mushroom - Lb.,Tortillas Sourdough - Frozen - Pack,Turkey Thighs /lb - Each,Vinaigrette - Greek Style - Bottle,Watermelon - Sugar Baby - Each,Yogurt - Blueberry - Oz.,Yogurt - Plain - Oz.,Yogurt - Strawberry - Oz.,Yogurt - Vanilla - Oz.,oo'ma'me - Chinese - Jar,Extra Credit - Each,Half,FSA/FSD,UCA/KWA,Mini,(BYO) FSG - Orders Only,(BYO) UCG - Orders Only,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),2% MILK,2% MILK-e,2% MILK-o,Cream pint,Creamline MILK-e,Eggs - Buttonwood,Half & Half,Plain yogurt,Skim MILK,Whole MILK,Whole MILK-e,Whole MILK-o
Total - 2026-08-19,2.0,3.0,1.0,6.0,,4.0,,2.0,,,,1.0,,4.0,,26.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,15.0,7.0,8.0,5.0,5.0,1.0,10.0,8.0,7.0,,,,,,,3.0,1.0,1.0,2.0,3.0,,6.0,,2.0,1.0,2.0,,,1.0,2.0,,1.0,1.0,,2.0,,1.0,,2.0,,14.0,,,7.0,2.0,,,2.0,1.0,,,,3.0,1.0,,2.0,3.0,,15.0,,2.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,,1.0,3.0,,2.0,,,,9.0,1.0,1.0,,1.0,2.0,1.0,3.0,3.0,,2.0,2.0,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,4.0,29.0,5.0,3.0,1.0,1.0,,,3.0,,,,1.0,,9.0,1.0,,,,,,,11.0,1.0,1.0,25.0,,16.0,1.0,,,,,2.0,,1.0,,3.0,5.0,4.0,6.0,,,,2.0,,5.0,1.0,,,1.0,,2.0,,2.0,1.0,5.0,1.0,3.0,,,2.0,,,,,1.0,6.0,,,,,,3.0,,,1.0,,2.0,,7.0,5.0,5.0,2.0,,,1.0,2.0,,,,21.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,,1.0,,9.0,7.0,,,,,,1.0,,,,,1.0,1.0,,5.0,,5.0,,4.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,5.0,,2.0,1.0,1.0,,,2.0,,5.0,,,,,3.0,8.0,,,1.0,,2.0,,,7.0,6.0,8.0,1.0,,,3.0,1.0,,10.0,,2.0,,1.0,1.0,1374.26,24.0,13.0,18.0,36.0,,,,,2.0,,0.0,,,4.0,1.0,,,2.0,,1.0
Total - 2026-08-20,,,3.0,2.0,,1.0,,2.0,2.0,,1.0,,,4.0,,19.0,,5.0,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,16.0,1.0,7.0,2.0,12.0,5.0,5.0,7.0,4.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,5.0,1.0,7.0,2.0,3.0,1.0,,1.0,4.0,,,,,1.0,,,,,1.0,,,2.0,,11.0,,1.0,4.0,2.0,,1.0,1.0,,,1.0,2.0,1.0,,,,4.0,,10.0,,5.0,4.0,,,1.0,,3.0,,1.0,1.0,1.0,5.0,,,,1.0,1.0,3.0,,2.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,5.0,,,2.0,,,,,,4.0,32.0,6.0,6.0,,,1.0,,1.0,,,,6.0,,7.0,,,,1.0,,1.0,,6.0,1.0,,25.0,2.0,14.0,,,2.0,,5.0,,1.0,1.0,,1.0,2.0,4.0,9.0,,1.0,2.0,,3.0,7.0,,,,2.0,2.0,,2.0,1.0,,7.0,,1.0,2.0,,1.0,1.0,,,2.0,4.0,5.0,,,,,,5.0,3.0,2.0,,2.0,,,5.0,2.0,7.0,6.0,,,1.0,,,,,21.0,,,3.0,4.0,,1.0,,,4.0,1.0,,,,1.0,1.0,,,1.0,1.0,2.0,9.0,9.0,,2.0,1.0,1.0,,2.0,1.0,1.0,3.0,,,1.0,,3.0,5.0,,1.0,2.0,,,1.0,2.0,,,1.0,,,,2.0,5.0,,2.0,,,,1.0,,1.0,,2.0,2.0,,,,,7.0,,,,,,,,4.0,4.0,7.0,,,,,,2.0,10.0,2.0,5.0,3.0,2.0,,1046.91,33.0,20.0,11.0,32.0,1.0,,,2.0,3.0,,3.0,,,,,,2.0,2.0,,1.0
Total - 2026-08-26,,,2.0,2.0,,3.0,1.0,2.0,,,,,1.0,3.0,2.0,9.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,2.0,,,,2.0,,,2.0,2.0,1.0,,,,,,16.0,5.0,6.0,7.0,2.0,5.0,13.0,9.0,15.0,,,1.0,2.0,,,5.0,2.0,4.0,,4.0,3.0,,,,3.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,,2.0,1.0,,1.0,15.0,2.0,,11.0,5.0,1.0,,3.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,5.0,,1.0,,14.0,,10.0,2.0,1.0,3.0,,16.0,1.0,1.0,,,8.0,1.0,,1.0,2.0,1.0,2.0,1.0,,1.0,,2.0,,9.0,3.0,2.0,1.0,1.0,,3.0,,,,2.0,1.0,,,,3.0,1.0,,9.0,22.0,10.0,3.0,,,,6.0,2.0,,1.0,1.0,1.0,1.0,25.0,2.0,1.0,1.0,2.0,2.0,,2.0,,2.0,1.0,23.0,,10.0,,1.0,,,,5.0,2.0,3.0,1.0,,1.0,7.0,9.0,1.0,,,2.0,3.0,,1.0,2.0,1.0,3.0,,2.0,,1.0,3.0,,1.0,4.0,2.0,1.0,1.0,,1.0,,,3.0,20.0,1.0,2.0,1.0,5.0,3.0,,,1.0,,,2.0,2.0,7.0,8.0,5.0,4.0,,,2.0,3.0,1.0,9.0,8.0,10.0,,4.0,5.0,,,3.0,,11.0,3.0,,,,7.0,3.0,,1.0,1.0,2.0,,,8.0,1.0,1.0,1.0,6.0,,,2.0,,,,1.0,,,7.0,,,4.0,2.0,4.0,,,1.0,,,2.0,2.0,1.0,2.0,1.0,2.0,,5.0,,1.0,,2.0,,3.0,,6.0,6.0,,,,1.0,1.0,6.0,1.0,,1.0,,,,2.0,12.0,6.0,9.0,,1.0,1.0,1.0,,2.0,16.0,,2.0,,2.0,,1677.8201,33.0,17.0,19.0,36.0,,1.0,,,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,3.0,2.0,
Total - 2026-08-27,,1.0,,,1.0,5.0,,3.0,1.0,1.0,,,,2.0,1.0,8.0,1.0,4.0,2.0,1.0,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,1.0,3.0,1.0,,,9.0,2.0,7.0,3.0,10.0,5.0,9.0,6.0,6.0,2.0,,,,2.0,1.0,1.0,,,,1.0,,,1.0,1.0,2.0,,,,1.0,,,,,3.0,,2.0,4.0,1.0,1.0,,,,1.0,2.0,8.0,,1.0,9.0,2.0,,,,1.0,,3.0,2.0,1.0,,1.0,1.0,,1.0,,12.0,,8.0,,1.0,,1.0,14.0,6.0,1.0,,,3.0,2.0,1.0,,,,5.0,,,,,,,8.0,,3.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,7.0,,2.0,12.0,19.0,10.0,2.0,,1.0,,4.0,3.0,1.0,1.0,,1.0,,14.0,,2.0,,2.0,,,1.0,,2.0,1.0,23.0,,11.0,,,,1.0,5.0,1.0,,,,2.0,1.0,5.0,6.0,,,2.0,,1.0,,1.0,,,1.0,1.0,,1.0,4.0,,1.0,,2.0,,,1.0,3.0,1.0,1.0,1.0,1.0,24.0,,3.0,,2.0,2.0,1.0,,,,1.0,,,3.0,8.0,3.0,5.0,1.0,1.0,1.0,2.0,,14.0,5.0,9.0,,2.0,2.0,,,2.0,,4.0,,,,1.0,3.0,1.0,2.0,,,1.0,,3.0,4.0,,,,,,1.0,,,,1.0,1.0,,2.0,5.0,,3.0,,,4.0,,1.0,,,,,1.0,,7.0,,2.0,4.0,,2.0,,,,,6.0,,2.0,2.0,,1.0,1.0,,,8.0,,1.0,,1.0,,1.0,1.0,7.0,6.0,10.0,,,1.0,,,1.0,6.0,1.0,3.0,2.0,4.0,,962.25006,23.0,22.0,11.0,32.0,1.0,,2.0,,3.0,4.0,,,1.0,,,,2.0,3.0,6.0,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,2.0,4.0,6.0,10.0,1.0,13.0,1.0,9.0,3.0,1.0,1.0,1.0,1.0,13.0,3.0,62.0,3.0,11.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,4.0,1.0,1.0,25.0,3.0,14.0,5.0,53.0,22.0,28.0,25.0,17.0,10.0,23.0,17.0,22.0,3.0,1.0,3.0,2.0,1.0,1.0,9.0,3.0,10.0,4.0,15.0,7.0,9.0,1.0,2.0,6.0,7.0,2.0,1.0,2.0,5.0,2.0,4.0,5.0,1.0,4.0,1.0,3.0,1.0,5.0,3.0,48.0,2.0,2.0,31.0,11.0,1.0,1.0,6.0,5.0,1.0,6.0,7.0,8.0,3.0,2.0,8.0,7.0,2.0,25.0,26.0,7.0,27.0,4.0,3.0,6.0,3.0,38.0,12.0,4.0,1.0,2.0,19.0,3.0,3.0,1.0,3.0,2.0,19.0,2.0,3.0,1.0,2.0,4.0,1.0,21.0,7.0,6.0,5.0,5.0,1.0,5.0,1.0,1.0,7.0,4.0,1.0,3.0,1.0,1.0,10.0,1.0,2.0,29.0,102.0,31.0,14.0,1.0,2.0,1.0,10.0,9.0,1.0,2.0,1.0,9.0,1.0,55.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,17.0,6.0,3.0,96.0,2.0,51.0,1.0,1.0,2.0,1.0,10.0,8.0,3.0,5.0,1.0,6.0,9.0,20.0,30.0,1.0,1.0,4.0,4.0,7.0,12.0,3.0,2.0,1.0,7.0,3.0,4.0,3.0,8.0,4.0,13.0,2.0,10.0,4.0,1.0,5.0,4.0,2.0,1.0,3.0,9.0,55.0,1.0,5.0,1.0,7.0,5.0,9.0,3.0,3.0,1.0,3.0,4.0,2.0,22.0,23.0,20.0,17.0,1.0,1.0,5.0,7.0,1.0,23.0,13.0,61.0,1.0,7.0,11.0,6.0,1.0,8.0,4.0,19.0,8.0,2.0,2.0,2.0,10.0,5.0,4.0,1.0,2.0,4.0,2.0,5.0,30.0,17.0,1.0,3.0,7.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,4.0,12.0,8.0,8.0,9.0,3.0,14.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,9.0,2.0,7.0,9.0,10.0,4.0,3.0,1.0,3.0,1.0,9.0,3.0,8.0,15.0,2.0,1.0,1.0,1.0,4.0,29.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,30.0,22.0,34.0,1.0,1.0,2.0,4.0,1.0,5.0,42.0,3.0,12.0,5.0,9.0,1.0,5061.24,113.0,72.0,59.0,136.0,2.0,1.0,2.0,2.0,10.0,6.0,3.0,1.0,2.0,6.0,2.0,1.0,4.0,10.0,8.0,2.0
