Delivery Date,Chicken - BULK Breasts /lb. - Pack,Chicken - Big Bag Deboned Thighs/lb. - Bag,Ground Turkey - Pack,Milk - 2%  - Oz.,Milk - Creamline - Oz.,Milk - Skim  - Oz.,Milk - Whole - Oz.,Almond Butter  - Pint,Cashew Butter - Roasted - Pint,Cashews Salted - Oz.,Cheddar - Hatch Pepper - Pack,Cheddar - Mauna Loa - Pack,Cheddar - Tipsy - Pack,Cheddar - White MJC - Pack,Cheese Curds (1.0 Herb) - Herb,Cheese Curds (1.0 Plain) - Plain,Cheese Curds (1.0 Spicy) - Spicy,Coffee Stringbean Red Eye  - Oz.,Cucumbers - Pickling   - Bag,Dates - Oz.,Decaf Kuva - Oz.,Eggs - BW - Dozen,Goshen Bona Fide 5 LB - Lb.,Goshen Decaf Bona Fide  - Oz.,Goshen French Roast - Oz.,Gouda - 5 Alarm - Pack,Gouda - Cave Aged - Pack,Gouda - MJC - Pack,Ground Beef 80/20 - Lb.,Ground Beef 90/10 - Lb.,Half & Half - Pint,Havarti - MJC - Pack,Jam - Apricot HBY - Pint,Jam - Grape HBY - Pint,Jam - Strawberry - Rhubarb  - Pint,Jam - Strawberry HBY - Pint,Kuva Peru - Package,Kuva Sumatra - Oz.,Peach 2nds - Bag,Peanut Butter EW - Pint,Peanut Butter MC - Pint,Pecans - Halves,Pecans (1.0 Pieces) - Pieces,Pignolas (Pine Nuts) - Oz.,Quark-Frozen - Tub,Salsa - Gringo's Hot - Pint,Salsa - Gringo's Medium  - Pint,Squash - Acorn - Medium,Stringbean Brazilian - Oz.,Stringbean Disco Inferno - Oz.,Stringbean Malawi Peaberry - Oz.,Stringbean Peru - Oz.,Sugar Free - Blackberry HBY - Pint,Sugar Free - Raspberry HBY - Pint,Tomme - Cave Aged - Pack,Walnuts - Oz.,Yogurt - Greek Plain - Oz.,Yogurt - Greek Vanilla - Oz.,Yogurt - Plain Regular - Oz.,Yogurt - Vanilla Regular - Oz.,Pizza - Cheese  - Each,Pizza - Deluxe  - Each,Pizza - Four Meat  - Each,Pizza - Pepperoni  - Each,Pizza - Sausage Pepperoni  - Each,Pizza - Tomato Basil Garlic  - Each,Pizza - Veggie  - Each,Kirkwood Pickup Time - @1-1:30,Kirkwood Pickup Time (2.0 @1:30-2) - @1:30-2,Kirkwood Pickup Time (3.0 @2-2:30) - @2-2:30,Mothership Pickup Time - @6:30-7,Mothership Pickup Time (1.0 @3:30-4) - @3:30-4,Mothership Pickup Time (2.0 @4-4:30) - @4-4:30,Mothership Pickup Time (3.0 @4:30-5) - @4:30-5,Mothership Pickup Time (4.0 @5-5:30) - @5-5:30,Mothership Pickup Time (5.0 @5:30-6) - @5:30-6,Mothership Pickup Time (6.0 @6-6:30) - @6-6:30,UCity Pickup Time - @4:30-5,UCity Pickup Time (2.0 @5-5:30) - @5-5:30,UCity Pickup Time (3.0 @5:30-6) - @5:30-6,Raw Milk Aged Cheddar - Each,$ for green bags donation - $,Donation to Food Pantry - Each,Food For FS Cats Donation - $,Food Pantry Donation - $,Food for Ferals Donation - $,Freezer Repair Donation - $,New Freezer Donation - $,Paper for Paper - Donation - $,Paper for Plastic Donation - $,80/20 Ground Beef Bundle (1.0 5-pack) - 5-pack,90/10  Ground Beef Bundle - 5-pack,90/10  Ground Beef Bundle (1.0 10-pack) - 10-pack,Angel Food Cheese - Each,Apple Sauce - Chunky - NS - Quart,Asian Eggplant  - Each,Baby Swiss - MJC - Choice,Bacon  - Each,Bacon - Uncured - Pack,Bada Bing - Sub - Bag,Bada Bing - Sub - Frozen - Each,Bagels - Everything  - Bag,Bagels - Everything - Frozen - Bag,Bagels - Plain - Bag,Bagels - Plain - Frozen - Each,Bagels - Raisin - Bag,Bagels - Raisin - Frozen - Bag,Balsamic Vinegar - ML,Beans & Rice - Tub,Beef - Tenderloin 8oz. - Pack,Beef Kabob Meat - Lb.,Beef Marrow Bones /lb - Lb.,Beets - Pickled - Quart,Big John's BBQ Sauce - Pint,Bison - Ground - Lb.,Black Bean Dip - Tub,Black Bean Hummus - Tub,Black Bean Soup - Tub,Black Beans - Dry - Lb.,Black Beans DC - Tub,Black Goat PF - Package,Blackberry Vinaigrette - Jar,Bologna - Each,Bread Pudding (1.0 Maple) - Maple,Bread Pudding - Muffin - Each,Bread Pudding - Muffin - Froz. - Each,Brioche - Buns - Frozen - Bag,Brioche - Loaf - Frozen - Lb.,Brisket - half/lb. - lbs,Brisket - whole/lb. - lbs,Buttermilk - Qt.  - Quart,Calm  (1.0 30-pack) - 30-pack,Cantaloupe - Large - Each,Cantaloupe - Medium - Each,Cantaloupe - Small - Each,Cantaloupe - XL - Each,Cappuccino Milk 12 oz. - Bottle,Carrots w/tops - Bunch,Catsup - Marina's - Bottle,Celery - Bunch,Cheddar - Onion Chive - Pack,Cheddar - Trifecta - Pack,Cheese - Aged Alpine - Pack,Chevre PF (1.0 Herb) - Herb,Chevre PF (1.0 Pepper) - Pepper,Chevre PF (1.0 Plain) - Plain,Chicken - Ground - Lb.,Chicken - Thighs /lbs  - lbs,Chicken - Whole $4.50/lb. - Each,Chicken Breasts /lb. - Pack,Chicken Chorizo - Lb.,Chicken Drumsticks /lb. - Pack,Chicken Links - Apple Cinnamon - Lb.,Chicken Links - Sundried Tomato - lbs,Chicken Thighs - Big Bag/lb. - Pack,Chicken Thighs - Boneless/lb. - lbs,Chicken Wings/lb. - lbs,Chips - Tortilla - Bag,Cinnamon Rolls - Pack,Cinnamon Rolls - Frozen - Pack,Cinnamon Rolls - Jr. L. - Package,Coconut Oil Pint Organic - Pint,Coconut Oil Quart - Quart,Coffee Choice - Oz.,Coffee Stringbean Decaf - Bag,Croissants - Pack,Croissants - Frozen - Pack,Crunchy Peanut Butter - Jar,Cucumbers - Silver Slicer - Each,Cucumbers - Slicing - Each,Dark Bar 72% - Package,Dark Chocolate Almond Bar - Pack,Dark Chocolate Ginger Bark - 1-each,Dark Chocolate Salted Bark - Pack,Dark Chocolate Square  - Each,Del Carmen Choice - Tub,Deli Rye Bread - Frozen - Lb.,Eggs - Dozen,Eggs - H - Dozen,FF - Fry Bread - Bag,FF Dip - Muhammara  - Each,FF Dish - Cauliflower Curry - Pint,FF Dish - Green Curry - Each,FF Dish - Saag Paneer - Pint,FF Sauce - Puttanesca - Pint,FF Side - BBQ Pit Beans - Pint,FF Soup - Chickpea Stew - Pint,FF Soup - Tom Kha - Pint,FF Soup - Yellow Gazpacho - Oz.,Flaked Salmon/lb. - Lb.,Flank Steak/lbs. - lbs,Flour - Bread 5# - Lb.,Focaccia - 3 Cheese - Frozen - Loaf,Fresh Basil - Bunch,Fresh Figs  - Box,Funds for Snacks - Each,Garlic Balsamic Vinaigrette - Bottle,Garlic Heads - Bag,Gift Certificate - 1 full share - Each,Globe Eggplant - Medium,Gluten Free Black Bean Soup - Tub,Gnocchi - Garlic Chive  - Lb.,Gnocchi - Potato  - Lb.,Gnocchi - Spinach  - Lb.,Gnocchi - Sundried Tomato  - Lb.,Gnocchi - Sweet Potato  - Lb.,Granola - Cranberry Almond - Pack,Granola - Vanilla Apricot - Pack,Granola Bar - Each,Grapes - Fredonia - Lb.,Green Beans - Share,Green Zucchini - Each,Grits - Lb.,Ground Lamb  - Lb.,Ham Steak RFF/lb. - Each,Happy - Lemon  - 10-pack,Honey - 6oz mbb. - Each,Honey - Pint - Jar,Honey - Qt. - Jar,Honey - Squeeze Bottle - Bottle,Honey - Wildflower - Bottle,Jailhouse Jalapeno Brew - Jar,Jalapenos - 5-pack,Jam - Blackberry Jalapeno - Pint,Jar Tomatoes - Quart,Jasmine Rice (1.0 Brown) - Brown,Kuva Ethiopian - Bag,Lamb Chops/lb. DM - Each,Lamb Feta/Spinach Gyro  - Lb.,Lamb Gyro Plain - Lb.,Maple Syrup 12 oz. - Jar,Marshmallow Pie - Each,Meatballs - Oz.,Mexican Dark Bark - Package,Milk Chocolate Bar - Pack,Milk Chocolate Lolli - Each,Milk Chocolate Square - Each,Multigrain Bread  - Each,Multigrain Bread - Frozen - Loaf,Mushrooms - Choice,Mushrooms (1.0 Lion's Mane) - Lion's Mane,Mushrooms (1.0 Shiitake) - Shiitake,Mushrooms - Yellow Oyster - Bag,NY Strip Steak /lb - Pack,Oat Porridge Bread - Thursday - Each,Oat Porridge Bread Wednesday - Loaf,Oats - Rolled 5# - Bag,Okra  - Share,Olive Oil Medium - Half Liter,Olive Oil large - Liter,Onions - Red Tropea - Lb.,Orange Milk 12 oz. - Bottle,Organic Sugar - Lb.,Pacific Cod/lb - Pack,Pasta - Gluten Free Short LV - Each,Pasta - Short Egg  - Lb.,Pasta Bi-color Short - Lb.,Pasta Long Bi-color - Lb.,Pasta Long Egg - Lb.,Pate de Fruit - 6-pack,Patty Pan Squash - Lb.,Peaches - Share,Peaches - Spiced - Jar,Pepper - Colored Bell - Each,Peppers - Hot Mix - Each,Peppers - Lunchbox - Pint,Peppers - Poblanos - 3-pack,Peppers - Red/Yellow Bell - Each,Peppers - Shishitos - Share,Pesto - Arugula Walnut - Tub,Pesto - Green Basil - Tub,Pesto - Watercress - Each,Pizza - Bacon Bacon   - Each,Pizza Sauce - Jar,Polenta - Oz.,Popped Corn - Organic - Bag,Pork - Bratwurst  - Pack,Pork - Breakfast Links CB - Each,Pork - Breakfast Sausage - Lb.,Pork - Chop bone-in/lb. - Lb.,Pork - Chorizo (bulk) - Lb.,Pork - Deli Ham /lb. - Lb.,Pork - Ground  - Lb.,Pork - Kielbasa - Pack,Pork - Sweet Italian - Ground,Pork - Sweet Italian (1.0 Links) - Links,Pork Andouille Links - D&M - Each,Pork Apple Brat  - Pack,Pork Burger RFF - Package,Pork Choice - $7.50 - Package,Pork Chops - Boneless CB /lb. - Lb.,Pork Chops Bone in/lb. - Pack,Pork Cutlets /lb - Lb.,Pork Sausage - s&p - Pack,Pork Shoulder/lb. - Each,Pork Snack Sticks - 5 pk (1.0 Spicy) - Spicy,Pork Steaks/lb. - Pack,Pork Tenderloin/# - CB - Lb.,Pork- Hot Italian - Pack,Pork- Hot Italian Links - Each,Porterhouse Steak - Each,Potato Chips Kickers Lg - Bag,Potato Chips Kickers med - Oz.,Potato Chips Original lg - Oz.,Potatoes - Mix - Lb.,Pretzel Slider Buns - Frozen - Bag,RL Chocolate Milk - Bottle,RL Heavy Cream  - Pint,Rack of Lamb - lbs,Ravioli - 4-Cheese  - Lb.,Ravioli - Butternut Squash  - Lb.,Red Carmen Peppers - 3-pack,Ribs - Spare/lb. (1.0 Medium) - Medium,Rice - Basmati White - Lb.,Rice - Brown - Lb.,SALE!! Cottage Cheese  - Tub,Salame - Calabrese - Package,Salame - Veneto - Pack,Salmon  - Each,Salsa - Gringo's Mild - Jar,Salsa - Medium TM&G - Pint,Scallions - Bunch,Scallions - No Root - Bunch,Sea Scallops - Bag,Seeded Janie's - Thursday - Loaf,Seedy Wheaty - Frozen - Loaf,Seedy Wheaty Bread - Loaf,Semolina - Thursday - Loaf,Semolina - Wednesday - Loaf,Shakshuka Sauce - Jar,Skirt Steak/lbs. - Each,Sliced Summer Sausage - Bag,Snack Stick - Hickory CB - Each,Soap (1.0 Cinnamon) - Cinnamon,Sorghum Syrup - Jar,Sourdough Bread - Lb.,Sourdough Bread - Frozen - Lb.,Staff - Something to note! - Each,Strawberry Milk 12 oz. - Bottle,Sugar Free - Strawberry Jam  - Pint,Summer Squash - Each,Sweet Dill Pickles - Quart,Tahini - Pint,Tarragon Peppers - Jar,Toffee - Package,Tomato Sauce - CB - Jar,Tomatoes - Cherry Mix - Pint,Tomatoes - Heirloom - Bag,Tomatoes - Red Cherry - Pint,Tomatoes - Slicing - Bag,Tomatoes - Sungold - Pint,Tortellini - Cheese - Lb.,Tortellini - Mushroom - Lb.,Turkey Breakfast Links - Each,Turkey Cranberry Brats - Package,White Rice Cooked - Lb.,Yeast - Red - Lb.,Yogurt - Coconut - Oz.,Yogurt - Raspberry - Pint,Yogurt - Yo Bul Plain - Oz.,oo'ma'me - Chinese - Jar,Extra Credit - Each,Half,FSA/FSD,FSC,UCA/KWA,Mini,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",No Produce - Order Only (even wk),2% MILK,2% MILK-e,Buttonwood Eggs,Chocolate MILK,Cream pint,Creamline MILK,Half & Half,Handling/Delivery fee,Skim MILK,Skim MILK-e,Whole MILK,Whole MILK-e,YoBul plain yogurt
Total - 2022-08-17,6.0,4.0,7.0,3.0,2.0,1.0,5.0,,,1.0,1.0,,1.0,3.0,1.0,,2.0,,2.0,2.0,1.0,13.0,,,,,2.0,,23.0,4.0,2.0,3.0,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,,,,,2.0,1.0,,1.0,1.0,,1.0,,2.0,14.0,6.0,2.0,2.0,2.0,1.0,,,,,2.0,,,,,14.0,13.0,9.0,13.0,9.0,5.0,27.0,11.0,20.0,1.0,3.0,3.0,,3.0,,5.0,3.0,,2.0,,,,1.0,1.0,7.0,2.0,10.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,,1.0,,3.0,1.0,4.0,,1.0,1.0,2.0,,3.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,,4.0,5.0,9.0,2.0,1.0,8.0,,6.0,3.0,,2.0,,,1.0,13.0,2.0,1.0,5.0,,1.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,,,1.0,2.0,,3.0,4.0,1.0,2.0,7.0,3.0,1.0,,,,6.0,,58.0,4.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,,,2.0,,2.0,12.0,24.0,,1.0,5.0,,8.0,,1.0,1.0,2.0,,1.0,2.0,2.0,2.0,,13.0,3.0,1.0,,,,1.0,2.0,4.0,1.0,1.0,1.0,9.0,,,,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,12.0,3.0,20.0,3.0,8.0,10.0,,,11.0,,7.0,2.0,,11.0,,,1.0,,1.0,19.0,4.0,2.0,,,50.0,,1.0,2.0,5.0,10.0,8.0,7.0,,1.0,,,2.0,2.0,1.0,2.0,2.0,8.0,1.0,,,4.0,1.0,3.0,1.0,,2.0,,5.0,1.0,1.0,2.0,,,1.0,5.0,1.0,1.0,,,2.0,,1.0,15.0,,7.0,2.0,,1.0,1.0,6.0,1.0,3.0,,,1.0,1.0,3.0,,,5.0,4.0,,,,6.0,,12.0,,2.0,,1.0,,,5.0,1.0,,,,3.0,,,,1.0,3.0,7.0,11.0,1.0,11.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,7.0,,2205.1304,35.0,14.0,15.0,30.0,53.0,1.0,,1.0,9.0,2.0,1.0,1.0,1.0,,,0.0,1.0,,5.0,1.0,1.0
Total - 2022-08-18,4.0,,5.0,10.0,,1.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,,13.0,1.0,1.0,1.0,1.0,,1.0,28.0,5.0,9.0,2.0,1.0,1.0,1.0,,1.0,,5.0,1.0,,,1.0,2.0,2.0,2.0,2.0,6.0,,1.0,1.0,,1.0,,3.0,,13.0,7.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,25.0,6.0,6.0,6.0,30.0,16.0,21.0,24.0,8.0,3.0,,,,,1.0,11.0,1.0,7.0,6.0,,11.0,1.0,6.0,1.0,1.0,1.0,,,2.0,1.0,10.0,,1.0,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,4.0,,9.0,1.0,2.0,,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,,2.0,1.0,4.0,5.0,7.0,3.0,,15.0,1.0,8.0,,2.0,,1.0,1.0,3.0,12.0,8.0,1.0,13.0,2.0,1.0,,,,5.0,,10.0,4.0,6.0,1.0,1.0,,7.0,2.0,1.0,1.0,,3.0,5.0,2.0,2.0,1.0,2.0,1.0,12.0,1.0,122.0,2.0,3.0,1.0,,1.0,,,2.0,2.0,,2.0,1.0,2.0,5.0,,8.0,31.0,1.0,,10.0,2.0,10.0,2.0,4.0,,1.0,1.0,1.0,,2.0,5.0,1.0,18.0,,,1.0,1.0,1.0,,,1.0,1.0,3.0,,12.0,3.0,1.0,1.0,,2.0,3.0,1.0,1.0,,5.0,,4.0,2.0,1.0,11.0,2.0,23.0,8.0,8.0,11.0,3.0,12.0,,2.0,18.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,,16.0,9.0,2.0,1.0,1.0,47.0,2.0,4.0,6.0,12.0,15.0,6.0,14.0,2.0,1.0,1.0,1.0,,,,4.0,2.0,14.0,3.0,1.0,1.0,3.0,,3.0,1.0,1.0,2.0,1.0,6.0,2.0,,,1.0,1.0,,5.0,2.0,4.0,3.0,1.0,,2.0,,3.0,2.0,4.0,4.0,1.0,1.0,,4.0,,1.0,2.0,2.0,,1.0,10.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,5.0,12.0,,1.0,,1.0,,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,10.0,7.0,7.0,22.0,1.0,,,1.0,,,3.0,1.0,4.0,1.0,3272.9705,46.0,32.0,27.0,26.0,53.0,,1.0,1.0,9.0,3.0,,,1.0,2.0,1.0,,2.0,5.0,5.0,4.0,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,10.0,4.0,12.0,13.0,2.0,2.0,12.0,1.0,2.0,2.0,2.0,3.0,2.0,6.0,6.0,1.0,3.0,1.0,3.0,2.0,1.0,26.0,1.0,1.0,1.0,1.0,2.0,1.0,51.0,9.0,11.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,27.0,13.0,7.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,25.0,6.0,6.0,6.0,44.0,29.0,30.0,37.0,17.0,8.0,27.0,11.0,20.0,1.0,4.0,14.0,1.0,10.0,6.0,5.0,14.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,20.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,2.0,2.0,1.0,7.0,1.0,13.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,8.0,10.0,16.0,5.0,1.0,23.0,1.0,14.0,3.0,2.0,2.0,1.0,1.0,4.0,25.0,10.0,2.0,18.0,2.0,2.0,1.0,1.0,4.0,9.0,3.0,14.0,7.0,9.0,1.0,1.0,1.0,9.0,2.0,4.0,5.0,1.0,5.0,12.0,5.0,3.0,1.0,2.0,1.0,18.0,1.0,180.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,5.0,2.0,20.0,55.0,1.0,1.0,15.0,2.0,18.0,2.0,5.0,1.0,3.0,1.0,2.0,2.0,4.0,7.0,1.0,31.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,4.0,1.0,21.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,4.0,3.0,1.0,23.0,5.0,43.0,11.0,16.0,21.0,3.0,12.0,11.0,2.0,25.0,3.0,1.0,26.0,1.0,1.0,3.0,1.0,1.0,35.0,13.0,4.0,1.0,1.0,97.0,2.0,5.0,8.0,17.0,25.0,14.0,21.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,4.0,22.0,4.0,1.0,1.0,7.0,1.0,6.0,2.0,1.0,4.0,1.0,11.0,3.0,1.0,2.0,1.0,1.0,1.0,10.0,3.0,5.0,3.0,1.0,2.0,2.0,1.0,18.0,2.0,11.0,6.0,1.0,2.0,1.0,10.0,1.0,4.0,2.0,2.0,1.0,2.0,13.0,1.0,4.0,7.0,5.0,2.0,1.0,1.0,11.0,12.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,4.0,12.0,21.0,8.0,18.0,34.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,11.0,1.0,5478.1006,81.0,46.0,42.0,56.0,106.0,1.0,1.0,2.0,18.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,5.0,10.0,5.0,1.0
