Delivery Date,Chicken - BULK Breasts /lb. - Pack,Chicken - Big Bag Deboned Thighs/lb. - Bag,Ground Turkey - Pack,Pistachios - Oz.,Milk - 2%  - Oz.,Milk - Chocolate - Oz.,Milk - Creamline - Oz.,Milk - Whole - Oz.,Walnuts - Oz.,Almonds - Salted - Oz.,Cucumbers - Pickling - Bag,Dates - Oz.,Eggs - BW - Dozen,Half & Half - Pint,Jam - Blueberry HBY - Pint,Jam - Red Cherry HBY - Pint,Jam - Strawberry - Rhubarb - Pint,Jam - Strawberry HBY - Pint,Peanut Butter EW - Pint,Peanut Butter MC - Tub,Salsa - Black Bean & Corn - Pint,Salsa - Gringo's Hot - Pint,Salsa - Gringo's Medium - Pint,Stringbean Brazilian - Oz.,Stringbean Disco Inferno - Oz.,Stringbean Red Eye  - Oz.,Sugar Free - Apricot HBY - Pint,Pizza - Cheese  - Each,Pizza - Deluxe - Each,Pizza - Four Meat  - Each,Pizza - Pepperoni  - Each,Pizza - Sausage Pepperoni - Each,Pizza - Tomato Basil Garlic  - Each,Pizza - Veggie  - Each,Kirkwood Pickup Time - @1-1:30,Kirkwood Pickup Time (1.0 PORCH) - PORCH,Kirkwood Pickup Time (2.0 @1:30-2) - @1:30-2,Kirkwood Pickup Time (3.0 @2-2:30) - @2-2:30,Mothership Pickup Time - @6:30-7,Mothership Pickup Time (1.0 @3:30-4) - @3:30-4,Mothership Pickup Time (2.0 @4-4:30) - @4-4:30,Mothership Pickup Time (3.0 @4:30-5) - @4:30-5,Mothership Pickup Time (4.0 @5-5:30) - @5-5:30,Mothership Pickup Time (5.0 @5:30-6) - @5:30-6,Mothership Pickup Time (6.0 @6-6:30) - @6-6:30,UCity Pickup Time - @4:30-5,UCity Pickup Time (2.0 @5-5:30) - @5-5:30,UCity Pickup Time (3.0 @5:30-6) - @5:30-6,Pork Steaks/lb. - Pack,Buttermilk - Qt.  - Quart,RL Heavy Cream  - Pint,$ for green bags donation - $,Cooler Donation - $,Donation to Food Pantry - Each,Food For FS Cats Donation - $,Food Pantry Donation - $,Food for Ferals Donation - $,Paper for Paper - Donation - $,Aged Cheddar - HBC - Each,Apple Sauce - Chunky - NS - Quart,Apple Sauce - w/sugar - qt. - Jar,Applewood Smoked Cheddar - Each,Arugula - Bag,Asparagus - Bunch,Auction Donation - $,Bacon - Each,Bacon - Uncured/lb - Pack,Bagel Chips - Bag,Bagels - Blueberry - BU - Bag,Bagels - Everything - Bag,Bagels - Everything - BU - Bag,Bagels - Everything - Frozen - Bag,Bagels - Honey Buckwheat - BU - Bag,Bagels - Plain - Bag,Bagels - Plain - BU - Bag,Bagels - Plain - Frozen - Each,Bagels - Poppy Seed - BU - Bag,Bagels - Pumpernickel - BU - Bag,Bagels - Raisin - Bag,Bagels - Raisin - Frozen - Bag,Bagels - Sesame Seed - BU - Bag,Beef - Stew Meat - Pack,Beef Kabob Meat - Lb.,Beets - Red w/Tops - Bunch,Bison - Ground - Lb.,Black Beans DC - Tub,Black Pepper Cheddar - Each,Bok Choy - Bag,Boneless Pork Chop - D&M /lb - Lb.,Bread Choice ($6.75) - 1-each,Bread Pudding - Muffin - Each,Broccoli - Share,Broccoli (1.0 Head) - Head,Buttermilk Waffles Sourdough - Frozen - Pack,Cabbage - Chinese - Head,Cabbage - Green - Head,Cabbage - Green (1.0 Medium) - Medium,Cannolis - 2-pack,Cannolis - Frozen - 2-pack,Carrots w/tops - Bunch,Cauliflower - hd. - Head,Cheese Choice $6.75 - Each,Chevre PF (1.0 Herb) - Herb,Chevre PF (1.0 Plain) - Plain,Chicken - Breakfast - Pack,Chicken - Breakfast Links - Each,Chicken - Ground - Lb.,Chicken - Links ($10.50) - Each,Chicken - Thighs /lbs  - lbs,Chicken - Whole $5.00/lb. - Each,Chicken Bones - SM/lb.* - Bag,Chicken Breasts /lb. - Pack,Chicken Chorizo - Lb.,Chicken Drumsticks /LB - Pack,Chicken Links - Andouille  - Lb.,Chicken Links - Chorizo - Lb.,Chicken Links - Lemon Pepper - Lb.,Chicken Links - Sundried Tomato - lbs,Chicken Thighs - Big Bag/lb. - Pack,Chicken Thighs - Boneless/lb. - lbs,Cinnamon Raisin Bread - 1-each,Cinnamon Rolls - Pack,Cinnamon Rolls - Frozen - Pack,Clean Plate Pantry Choice ($11.5) - Jar,Coconut Oil Quart - Quart,Collards - Bunch,Cornmeal - Oz.,Croissant - PIB - 1-each,Croissant - PIB Frozen - 1-each,Cucumbers - Slicing - Each,Curds Applewood Smoked 10 oz - Bag,Curds Creamy Ranch 10 oz - Bag,Curds Garlic Herb HBC 10 oz  - Bag,Curds Jalapeno Habanero 10 oz - Bag,Curry Sauce (1.0 Green) - Green,Curry Sauce (1.0 Red) - Red,Dark Bar 61% - Package,Dark Bar 72% - Package,Dark Chocolate Almond Bar - Pack,Dark Chocolate Caramels - Pack,Dark Chocolate Lolli - Each,Dark Chocolate Salted Bark - Pack,Dark Chocolate Square  - Each,Eggs - Dozen,Eggs - H - Dozen,English Muffin Sourdough - Frozen - Pack,Escarole - Head,FF Dish - Pear and Walnut Risotto - Each,FF Dish - Saag Paneer - Pint,FF Soup - Yellow Gazpacho - Oz.,Feta Cheese - HBC - Each,Flaked Salmon - Lb.,Flank Steak/lbs. - lbs,Flour - All Purpose 5 lb - Bag,Flour - Bread 5# - Lb.,Flour - HRS Sifted Bread  - Bag,Fresh Herb - Dill - Bunch,Fresh Herb - Mint - 1-each,Funds for Snacks - Each,Garlic Scapes - Bag,German Quark HBC - Jar,Ghost Pepper Cheddar - Each,Gluten Free Black Beans  - Tub,Gnocchi - Garlic Chive  - Lb.,Granola Bar - Each,Ground Beef - D&M - Lb.,Ground Lamb  - Lb.,Hand Pie: Bacon Burger Bleu - Bag,Hand Pie: Chicken Curry - Bag,Hand Pie: Spanakopita - Bag,Hoagie - PIB - 6-pack,Hoagie - PIB Frozen - Bag,Hoagie - T - Each,Hoagie - Wednesday - Each,Honey - Pint - Jar,Honey - Qt. - Jar,Honey - Wildflower - Bottle,Hummus - Beet & Pepita - Tub,Hummus - Carrot & Ginger - Tub,Hummus - Garlic - Tub,Janie's Bread - Thursday - Each,Janie's Bread - Wednesday - Each,Jar Tomatoes - Quart,Kabob - Lamb - Package,Kale - Green Curly - Bag,Kale - Lacinato/Dinosaur - Bag,Kale - Red Russian - Bag,Kohlrabi  - Head,Lamb Gyro Seasoned - Lb.,Lamb Gyro w/ Feta & Spinach - Lb.,Lasagna (1.0 Spinach) - Spinach,Lettuce - Bibb - Head,Lettuce - Butterhead - Bag,Lettuce - Romaine Head - Head,Lettuce - Salanova - Bag,Lettuce Mix - Bag,Light and Mild - T - Loaf,Light and Mild - Wednesday - Loaf,Louise's Cocoa Brownie Crisp Granola - Bag,Louise's Original Granola - Bag,Manicotti - Spinach - Package,Maple Syrup 12 oz. - Jar,Marbled Rye - Thursday - Each,Marbled Rye -Wednesday - Loaf,Marinara Sauce - Jar,Marshmallow Pie - Each,Meatballs D&M - Package,Milk Choc. Peanut Butter Bark - Pack,Milk Chocolate Bar - Pack,Milk Chocolate Caramels - 4-pack,Milk Chocolate Lolli - Each,Milk Chocolate PB Bon Bons - Pack,Milk Chocolate Square - Each,Mojo Marinade - Tub,Multigrain Bread  - Each,Multigrain Bread - Frozen - Loaf,Mushrooms - Choice,Mushrooms (1.0 Lion's Mane) - Lion's Mane,Mushrooms (1.0 Shiitake) - Shiitake,Mushrooms - Chestnut - Bag,Mushrooms - French Horn/King - Bag,Mushrooms - Hen of the Woods/Maitake - Bag,Mushrooms - last week's - Bag,Mustard (1.0 Horseradish) - Horseradish,Mustard (1.0 Onion) - Onion,Oat Porridge Bread - T - Each,Oat Porridge Bread - Wednesday - Loaf,Oats - Rolled 5# - Bag,Olive Oil Extra Large - Liter,Olive Oil Large - Bottle,Olive Oil Medium - Bottle,Olive Oil Small - ML,Onions - Green - Bunch,Onions - Sweet Bunch - Bunch,Pasta Bi-color Short - Lb.,Pasta Long Bi-color - Lb.,Pasta Wildcard $6.50 - Pack,Peas - Shelling  - Oz.,Peas - Sugar Snap - Share,Pink Sauce - Oz.,Pizza Sauce - Jar,Pizza Sourdough - Frozen - Pack,Plant - Basil Italian - Pot,Plant - Big Boy Tomatoes - Pot,Plant - English Thyme - Pot,Plant - Nasturtium - Pot,Plant - Oregano - Pot,Plant - Parsley - Pot,Plant - Roma Tomato - Pot,Plant - Spearmint - Pot,Plant - Sungold Tomato - Pot,Plant - Sweet Red Pepper - Pot,Plant - Tomato Beefsteak - Pot,Plant - Tomato Super Sweet 100 - Pot,Popcorn - McKaskle - Lb.,Popped Corn - Organic - Bag,Pork - Brats Cheddar DM - 4-pack,Pork - Bratwurst  - Pack,Pork - Ground  - Lb.,Pork - Kielbasa - Pack,Pork - Tenderloin/lb - Lb.,Pork Andouille Links - D&M - Each,Pork Apple Brat - Pack,Pork Breakfast Link D&M - Pack,Pork Hot Dogs - Each,Pork Italian Bulk - D&M - Lb.,Pork Italian Links - D&M - Each,Pork Shoulder Small/lb. - Pack,Pork Snack Sticks - Honey 4pk - Pack,Potatoes - New - Bag,Pre-ordered plants are in - Pot,Pretzel Slider Buns - Bag,Pretzel Slider Buns - Frozen - Bag,Pumpkin Cranberry Bread - Loaf,Queso Quesadilla - HBC - Each,RL Chocolate Milk - Bottle,Radishes - Bunch - Bunch,Radishes - Mini Daikon - Bunch,Radishes - Purple Heart - Bunch,Ravioli - 4-Cheese - Lb.,Ravioli - Mushroom  - Lb.,Rhubarb - Bunch,Ribs - Baby Back/lb. - Lb.,Rice - Basmati Brown - Lb.,Rice - Basmati White - Lb.,Rice - Brown - Lb.,Rice - White - Lb.,Salmon - Fillet Pieces/LB* - Each,Salmon - Fillet Whole/LB - Each,Seedy Wheaty - Frozen - Loaf,Semolina - T - Loaf,Semolina - Wednesday - Loaf,Sesame Hoagie - T - Each,Sesame Hoagie -W - Each,Shakshuka Sauce - Jar,Shoots - Broccoli - Bag,Shoots - Pea - Bag,Shoots - Specialty Mix - Bag,Short Ribs/lbs. - lbs,Skirt Steak/lbs. - Each,Sliced Summer Sausage - Bag,Sourdough Bread - Frozen - Lb.,Soy Sauce - Mushroom - Bottle,Spinach - Bag,Squash - Summer - Each,Squash - Zucchini - Each,Staff - Something to ask Jamie - Oz.,Staff - include last wk's share - Bag,Staff - pick up change - Bag,Strawberries - Qt - Quart,Strip Steak /lb - Pack,Swiss Chard - Bunch,Thick Cut Dill Pickles - Quart,Tomatoes - Slicing - Bag,Tortellini - Cheese - Lb.,Tortellini - Goat Cheese - Pack,Tortellini - Mushroom - Lb.,Tortillas Sourdough - Frozen - Pack,Turkey Thighs /lb - Each,Turnips - Japanese/White - Lb.,Vinaigrette - Greek Style - Bottle,White Rice Cooked - Lb.,Wild Cod/LB* - Pack,Wildcard $3 - Each,Wildcard $4 - Each,Yogurt - Blueberry - Oz.,Yogurt - Plain - Oz.,Yogurt - Strawberry - Oz.,Yogurt - Vanilla - Oz.,Extra Credit - Each,Half,FSA/FSD,UCA/KWA,Mini,(BYO) FSG - Orders Only,(BYO) UCG - Orders Only,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),2% MILK,2% MILK-e,2% MILK-o,Cream pint,Creamline MILK-e,Eggs - Buttonwood,Ground Chicken -o,Half & Half,Plain yogurt,RL Chocolate Milk,Whole MILK,Whole MILK-e,Whole MILK-o
Total - 2026-05-27,1.0,2.0,3.0,1.0,1.0,1.0,,,1.0,,,1.0,10.0,,1.0,1.0,,1.0,,2.0,2.0,,,2.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,10.0,4.0,8.0,5.0,1.0,3.0,17.0,6.0,6.0,,2.0,,2.0,,,1.0,,,,4.0,1.0,1.0,3.0,6.0,20.0,2.0,1.0,,2.0,2.0,,,1.0,2.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,,1.0,2.0,3.0,,,,,3.0,2.0,1.0,4.0,,,,,4.0,2.0,,2.0,1.0,1.0,4.0,4.0,1.0,,1.0,2.0,,,,1.0,1.0,2.0,,5.0,,5.0,,3.0,,1.0,,,,18.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,44.0,2.0,2.0,1.0,,,,3.0,,2.0,,,,,,,11.0,,,,,12.0,14.0,1.0,1.0,1.0,,,,,6.0,,1.0,,1.0,3.0,2.0,,3.0,,,,,,,1.0,1.0,1.0,3.0,,3.0,1.0,3.0,,4.0,1.0,4.0,,1.0,,2.0,9.0,2.0,,1.0,,,,,,,,1.0,9.0,2.0,3.0,7.0,1.0,,,,,,2.0,1.0,,1.0,,2.0,3.0,,1.0,1.0,5.0,3.0,10.0,1.0,1.0,3.0,2.0,,1.0,,,,,,,,,,,,1.0,,11.0,,1.0,,,,,,,,1.0,5.0,13.0,,,,3.0,2.0,5.0,,4.0,1.0,,9.0,,2.0,3.0,,3.0,,,1.0,,5.0,,2.0,1.0,1.0,1.0,3.0,,,,2.0,,5.0,,3.0,,,,,,5.0,1.0,,2.0,,1.0,,,,,1.0,2.0,,,1.0,5.0,,4.0,1061.7699,26.0,10.0,17.0,25.0,,,,,1.0,,2.0,,,3.0,7.0,1.0,,,3.0,,2.0
Total - 2026-05-28,,,7.0,1.0,,,,1.0,,,,1.0,9.0,3.0,,1.0,2.0,,,2.0,,,,,1.0,,,,,,1.0,,,,14.0,4.0,5.0,1.0,3.0,10.0,5.0,8.0,5.0,5.0,1.0,,,,,,1.0,2.0,,1.0,,5.0,,,3.0,,,,6.0,14.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,2.0,,,3.0,1.0,1.0,,1.0,,,1.0,,7.0,1.0,2.0,3.0,,,,,7.0,4.0,,,1.0,1.0,4.0,9.0,1.0,,,8.0,1.0,1.0,1.0,,,,2.0,2.0,,2.0,2.0,5.0,1.0,1.0,1.0,,2.0,16.0,,,2.0,,,,,6.0,,,2.0,,1.0,45.0,2.0,,1.0,,,,1.0,,,,,,,,,12.0,1.0,2.0,,2.0,,17.0,2.0,,,2.0,,1.0,9.0,,1.0,1.0,1.0,,,,3.0,,,,2.0,2.0,,,,,,,,2.0,2.0,3.0,3.0,,,4.0,,3.0,2.0,,12.0,6.0,2.0,,,1.0,,,,,,1.0,10.0,,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,,1.0,,,,7.0,1.0,,3.0,1.0,5.0,11.0,12.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,10.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,11.0,7.0,,1.0,,,,1.0,,2.0,2.0,1.0,5.0,1.0,,1.0,1.0,1.0,4.0,1.0,,5.0,,2.0,,,2.0,,1.0,,,,,,4.0,,7.0,,1.0,,,2.0,,,,,,,1.0,1.0,3.0,,1.0,1.0,,,2.0,8.0,3.0,3.0,804.81,35.0,19.0,7.0,26.0,1.0,,,2.0,6.0,,3.0,,,,,,,3.0,2.0,,1.0
Total - 2026-06-03,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,,5.0,1.0,11.0,,,,1.0,,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,12.0,4.0,6.0,7.0,2.0,3.0,15.0,9.0,8.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,3.0,,,5.0,2.0,13.0,,,,,,,,2.0,,,,1.0,1.0,,2.0,,1.0,,,3.0,1.0,1.0,2.0,2.0,1.0,,,,3.0,2.0,2.0,,2.0,5.0,,6.0,,2.0,1.0,1.0,,,4.0,8.0,5.0,1.0,,4.0,1.0,,1.0,,1.0,1.0,,3.0,3.0,2.0,,3.0,,2.0,,3.0,,4.0,,,,,,,,1.0,1.0,1.0,,,,22.0,2.0,1.0,1.0,,,,2.0,,3.0,1.0,,1.0,3.0,,,5.0,1.0,,,,3.0,8.0,,,,1.0,10.0,1.0,,5.0,3.0,1.0,,1.0,2.0,2.0,,3.0,1.0,,1.0,2.0,2.0,3.0,,,2.0,4.0,4.0,2.0,3.0,6.0,,4.0,1.0,2.0,1.0,,,2.0,6.0,,,,1.0,1.0,,,,1.0,2.0,,,2.0,,1.0,1.0,,14.0,1.0,,,2.0,,1.0,2.0,1.0,,3.0,2.0,2.0,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,1.0,,1.0,15.0,8.0,,,,,1.0,,1.0,1.0,1.0,,2.0,3.0,,,1.0,,3.0,4.0,2.0,1.0,,,,,,1.0,,,,1.0,3.0,,5.0,,3.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,4.0,3.0,9.0,,,,43.0,,4.0,1.0,,1.0,2.0,1.0,,1.0,,2.0,,,2.0,3.0,,3.0,2.0,2.0,1297.9402,24.0,13.0,17.0,31.0,,,,,2.0,2.0,,,,1.0,,1.0,,,4.0,,
Total - 2026-06-04,,2.0,4.0,1.0,2.0,,,1.0,,1.0,8.0,,17.0,3.0,,,1.0,,,4.0,,,,,,,,1.0,,,,,,,8.0,2.0,4.0,,4.0,13.0,4.0,6.0,4.0,4.0,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,10.0,,1.0,,,1.0,,3.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,2.0,3.0,1.0,1.0,,1.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,6.0,,4.0,2.0,,1.0,,13.0,13.0,1.0,,,4.0,1.0,,,,,1.0,,1.0,,3.0,,6.0,,1.0,,,,1.0,1.0,1.0,3.0,1.0,,1.0,,,1.0,,1.0,,1.0,22.0,3.0,3.0,,1.0,2.0,1.0,2.0,1.0,,,1.0,,,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,,,,,10.0,1.0,8.0,,,1.0,,1.0,,1.0,2.0,,1.0,1.0,3.0,1.0,,4.0,1.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,,2.0,,3.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,2.0,1.0,,21.0,,,2.0,,1.0,,,1.0,,4.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,12.0,5.0,,,,,,,2.0,,,1.0,2.0,7.0,1.0,,,1.0,4.0,3.0,,1.0,,,3.0,,1.0,1.0,,,1.0,,1.0,4.0,,3.0,,3.0,,2.0,2.0,3.0,,,,1.0,,1.0,2.0,2.0,,1.0,34.0,,,,3.0,1.0,2.0,,,,,,,1.0,2.0,8.0,2.0,6.0,1.0,2.0,1058.75,29.0,19.0,7.0,26.0,1.0,1.0,2.0,,3.0,4.0,,1.0,1.0,1.0,,,1.0,3.0,2.0,4.0,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,2.0,5.0,18.0,4.0,5.0,2.0,1.0,3.0,1.0,1.0,13.0,3.0,47.0,6.0,1.0,2.0,4.0,1.0,2.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,6.0,9.0,1.0,7.0,45.0,17.0,28.0,21.0,12.0,8.0,32.0,16.0,14.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,5.0,2.0,1.0,11.0,1.0,2.0,8.0,15.0,57.0,4.0,5.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,9.0,2.0,3.0,6.0,9.0,2.0,1.0,1.0,1.0,17.0,6.0,7.0,8.0,3.0,9.0,1.0,12.0,11.0,12.0,3.0,3.0,3.0,2.0,25.0,34.0,8.0,1.0,1.0,18.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,11.0,3.0,12.0,2.0,17.0,1.0,5.0,1.0,3.0,2.0,39.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,9.0,3.0,2.0,3.0,1.0,3.0,133.0,9.0,6.0,3.0,1.0,2.0,1.0,8.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,30.0,5.0,3.0,2.0,3.0,18.0,41.0,3.0,1.0,1.0,3.0,20.0,3.0,17.0,11.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,6.0,2.0,1.0,6.0,5.0,2.0,7.0,2.0,1.0,3.0,7.0,4.0,8.0,7.0,13.0,5.0,8.0,2.0,11.0,1.0,4.0,4.0,4.0,30.0,8.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,19.0,5.0,5.0,12.0,5.0,2.0,37.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,9.0,11.0,2.0,7.0,3.0,12.0,15.0,26.0,2.0,2.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,27.0,34.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,20.0,30.0,1.0,1.0,1.0,4.0,9.0,13.0,2.0,8.0,3.0,1.0,17.0,1.0,3.0,6.0,1.0,4.0,5.0,2.0,5.0,9.0,10.0,5.0,5.0,5.0,3.0,5.0,7.0,3.0,2.0,1.0,3.0,1.0,13.0,4.0,21.0,2.0,1.0,1.0,77.0,2.0,9.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,11.0,5.0,22.0,6.0,11.0,4223.27,114.0,61.0,48.0,108.0,2.0,1.0,2.0,2.0,12.0,6.0,5.0,1.0,1.0,5.0,7.0,2.0,1.0,6.0,11.0,4.0,3.0
