"route","pickup_site","file_date","member_id"
"Fair Shares - Thursday","FSC-T",2025-09-12,1277
"Fair Shares - Thursday","FSC-T",2025-09-12,1857
"Fair Shares - Thursday","FSC-T",2025-09-12,562
"Fair Shares - Thursday","FSC-T",2025-09-12,514
"Fair Shares - Thursday","FSC-T",2025-09-12,744
"Fair Shares - Thursday","FSC-T",2025-09-12,502
"Fair Shares - Thursday","FSC-T",2025-09-12,326
"Fair Shares - Thursday","FSC-T",2025-09-12,140
"Fair Shares - Thursday","FSC-T",2025-09-12,340
"Fair Shares - Thursday","FSC-T",2025-09-12,310
"Fair Shares - Thursday","FSC-T",2025-09-12,997
"Fair Shares - Thursday","FSC-T",2025-09-12,941
"Fair Shares - Thursday","FSC-T",2025-09-12,364
"Fair Shares - Thursday","FSC-T",2025-09-12,162
"Fair Shares - Thursday","FSC-T",2025-09-12,127
"Fair Shares - Thursday","FSC-T",2025-09-12,242
"Fair Shares - Thursday","FSC-T",2025-09-12,900
"Fair Shares - Thursday","FSC-T",2025-09-12,171
"Fair Shares - Thursday","FSC-T",2025-09-12,845
"Fair Shares - Thursday","FSD",2025-09-12,462
"Fair Shares - Thursday","FSD",2025-09-12,287
"Fair Shares - Thursday","FSD",2025-09-12,1799
"Fair Shares - Thursday","FSD",2025-09-12,182
"Fair Shares - Thursday","FSD",2025-09-12,1993
"Fair Shares - Thursday","FSD",2025-09-12,11
"Fair Shares - Thursday","FSD",2025-09-12,471
"Fair Shares - Thursday","FSD",2025-09-12,550
"Fair Shares - Thursday","FSD",2025-09-12,621
"Fair Shares - Thursday","FSD",2025-09-12,34
"Fair Shares - Thursday","FSD",2025-09-12,549
"Fair Shares - Thursday","FSD",2025-09-12,710
"Fair Shares - Thursday","FSD",2025-09-12,1377
"Fair Shares - Thursday","FSD",2025-09-12,245
"Fair Shares - Thursday","FSD",2025-09-12,279
"Fair Shares - Thursday","FSD",2025-09-12,293
"Fair Shares - Thursday","FSD",2025-09-12,1271
"Fair Shares - Thursday","FSD",2025-09-12,928
"Fair Shares - Thursday","FSD",2025-09-12,1002
"Fair Shares - Thursday","FSD",2025-09-12,1236
"Fair Shares - Thursday","FSD",2025-09-12,734
