"route","pickup_site","file_date","member_id"
"Fair Shares - Thursday","FSD",2026-09-11,287
"Fair Shares - Thursday","FSD",2026-09-11,1857
"Fair Shares - Thursday","FSD",2026-09-11,11
"Fair Shares - Thursday","FSD",2026-09-11,505
"Fair Shares - Thursday","FSD",2026-09-11,471
"Fair Shares - Thursday","FSD",2026-09-11,761
"Fair Shares - Thursday","FSD",2026-09-11,502
"Fair Shares - Thursday","FSD",2026-09-11,433
"Fair Shares - Thursday","FSD",2026-09-11,549
"Fair Shares - Thursday","FSD",2026-09-11,293
"Fair Shares - Thursday","FSD",2026-09-11,310
"Fair Shares - Thursday","FSD",2026-09-11,963
"Fair Shares - Thursday","FSD",2026-09-11,928
"Fair Shares - Thursday","FSD",2026-09-11,1236
"Fair Shares - Thursday","FSD",2026-09-11,364
"Fair Shares - Thursday","FSD",2026-09-11,936
"Fair Shares - Thursday","FSD",2026-09-11,876
"Fair Shares - Thursday","FSD",2026-09-11,636
"Fair Shares - Thursday","FSD",2026-09-11,250
"Fair Shares - Thursday","FSD",2026-09-11,1932
"Fair Shares - Thursday","FSD",2026-09-11,643
"Fair Shares - Thursday","FSD",2026-09-11,912
"Fair Shares - Thursday","FSD",2026-09-11,900
"Fair Shares - Thursday","FSD",2026-09-11,959
"Fair Shares - Thursday","FSE",2026-09-11,1871
"Fair Shares - Thursday","FSE",2026-09-11,756
"Fair Shares - Thursday","FSE",2026-09-11,499
"Fair Shares - Thursday","FSE",2026-09-11,1977
"Fair Shares - Thursday","FSE",2026-09-11,700
"Fair Shares - Thursday","FSE",2026-09-11,566
"Fair Shares - Thursday","FSE",2026-09-11,31
"Fair Shares - Thursday","FSE",2026-09-11,1102
"Fair Shares - Thursday","FSE",2026-09-11,1131
"Fair Shares - Thursday","FSE",2026-09-11,1383
"Fair Shares - Thursday","FSE",2026-09-11,1047
"Fair Shares - Thursday","FSE",2026-09-11,1839
"Fair Shares - Thursday","FSE",2026-09-11,875
"Fair Shares - Thursday","FSE",2026-09-11,308
"Fair Shares - Thursday","FSE",2026-09-11,22
"Fair Shares - Thursday","FSE",2026-09-11,1268
"Fair Shares - Thursday","FSE",2026-09-11,1717
"Fair Shares - Thursday","FSE",2026-09-11,493
"Fair Shares - Thursday","FSE",2026-09-11,245
"Fair Shares - Thursday","FSE",2026-09-11,1864
"Fair Shares - Thursday","FSE",2026-09-11,699
"Fair Shares - Thursday","FSE",2026-09-11,1353
"Fair Shares - Thursday","FSE",2026-09-11,1271
"Fair Shares - Thursday","FSE",2026-09-11,722
"Fair Shares - Thursday","FSE",2026-09-11,1706
"Fair Shares - Thursday","FSE",2026-09-11,834
"Fair Shares - Thursday","FSE",2026-09-11,281
"Fair Shares - Thursday","FSE",2026-09-11,657
"Fair Shares - Thursday","FSE",2026-09-11,1156
"Fair Shares - Thursday","FSE",2026-09-11,67
"Fair Shares - Thursday","FSE",2026-09-11,168
"Fair Shares - Thursday","FSE",2026-09-11,979
"Fair Shares - Thursday","FSE",2026-09-11,249
"Fair Shares - Thursday","FSE",2026-09-11,289
"Fair Shares - Thursday","FSE",2026-09-11,587
"Fair Shares - Thursday","FSE",2026-09-11,1416
"Fair Shares - Thursday","FSE",2026-09-11,1719
"Fair Shares - Thursday","FSE",2026-09-11,1752
"Fair Shares - Thursday","FSE",2026-09-11,725
"Fair Shares - Thursday","FSE",2026-09-11,652
"Fair Shares - Thursday","FSE",2026-09-11,885
"Fair Shares - Thursday","FSE",2026-09-11,790
"Fair Shares - Thursday","FSE",2026-09-11,982
"Fair Shares - Thursday","FSE",2026-09-11,904
"Fair Shares - Thursday","FSE",2026-09-11,1440
"Fair Shares - Thursday","FSE",2026-09-11,1505
"Fair Shares - Thursday","FSMini-t",2026-09-11,1671
"Fair Shares - Thursday","FSMini-t",2026-09-11,501
"Fair Shares - Thursday","FSMini-t",2026-09-11,32
"Fair Shares - Thursday","FSMini-t",2026-09-11,1622
"Fair Shares - Thursday","FSMini-t",2026-09-11,670
"Fair Shares - Thursday","FSMini-t",2026-09-11,1593
"Fair Shares - Thursday","FSMini-t",2026-09-11,514
"Fair Shares - Thursday","FSMini-t",2026-09-11,401
"Fair Shares - Thursday","FSMini-t",2026-09-11,329
