"route","pickup_site","file_date","member_id"
"Fair Shares - Thursday","FSD",2026-06-05,287
"Fair Shares - Thursday","FSD",2026-06-05,1857
"Fair Shares - Thursday","FSD",2026-06-05,11
"Fair Shares - Thursday","FSD",2026-06-05,471
"Fair Shares - Thursday","FSD",2026-06-05,761
"Fair Shares - Thursday","FSD",2026-06-05,502
"Fair Shares - Thursday","FSD",2026-06-05,433
"Fair Shares - Thursday","FSD",2026-06-05,549
"Fair Shares - Thursday","FSD",2026-06-05,293
"Fair Shares - Thursday","FSD",2026-06-05,310
"Fair Shares - Thursday","FSD",2026-06-05,963
"Fair Shares - Thursday","FSD",2026-06-05,928
"Fair Shares - Thursday","FSD",2026-06-05,1236
"Fair Shares - Thursday","FSD",2026-06-05,364
"Fair Shares - Thursday","FSD",2026-06-05,51
"Fair Shares - Thursday","FSD",2026-06-05,636
"Fair Shares - Thursday","FSD",2026-06-05,250
"Fair Shares - Thursday","FSD",2026-06-05,643
"Fair Shares - Thursday","FSD",2026-06-05,453
"Fair Shares - Thursday","FSD",2026-06-05,900
"Fair Shares - Thursday","FSD",2026-06-05,959
"Fair Shares - Thursday","FSE",2026-06-05,1871
"Fair Shares - Thursday","FSE",2026-06-05,756
"Fair Shares - Thursday","FSE",2026-06-05,499
"Fair Shares - Thursday","FSE",2026-06-05,1977
"Fair Shares - Thursday","FSE",2026-06-05,208
"Fair Shares - Thursday","FSE",2026-06-05,700
"Fair Shares - Thursday","FSE",2026-06-05,566
"Fair Shares - Thursday","FSE",2026-06-05,32
"Fair Shares - Thursday","FSE",2026-06-05,31
"Fair Shares - Thursday","FSE",2026-06-05,1102
"Fair Shares - Thursday","FSE",2026-06-05,1131
"Fair Shares - Thursday","FSE",2026-06-05,1383
"Fair Shares - Thursday","FSE",2026-06-05,1047
"Fair Shares - Thursday","FSE",2026-06-05,83
"Fair Shares - Thursday","FSE",2026-06-05,1839
"Fair Shares - Thursday","FSE",2026-06-05,875
"Fair Shares - Thursday","FSE",2026-06-05,308
"Fair Shares - Thursday","FSE",2026-06-05,22
"Fair Shares - Thursday","FSE",2026-06-05,1268
"Fair Shares - Thursday","FSE",2026-06-05,1717
"Fair Shares - Thursday","FSE",2026-06-05,493
